Departamento,Municipio,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,CANTIDAD
NARIÑO,ROBERTO PAYÁN,52621000,MINA ANTIPERSONA,02/06/2012,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,GRANADA DE MORTERO,02/06/2012,1
META,GRANADA,50313000,GRANADA DE MANO,03/06/2012,1
TOLIMA,SAN ANTONIO,73675000,ARTEFACTO INCENDIARIO,04/06/2012,1
ANTIOQUIA,VALDIVIA,5854000,MINA ANTIPERSONA,05/06/2012,1
ARAUCA,ARAUCA (CT),81001000,COMBUSTIBLE,05/06/2012,1
META,GRANADA,50313000,GRANADA DE MANO,05/06/2012,1
ANTIOQUIA,VALDIVIA,5854000,CILINDRO BOMBA,06/06/2012,1
META,VISTAHERMOSA,50711000,MINA ANTIPERSONA,06/06/2012,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,07/06/2012,1
META,EL CASTILLO,50251000,COMBUSTIBLE,07/06/2012,1
TOLIMA,CHAPARRAL,73168000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,07/06/2012,1
MAGDALENA,CIÉNAGA,47189000,GRANADA DE MANO,09/06/2012,1
PUTUMAYO,PUERTO ASÍS,86568000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,09/06/2012,1
ANTIOQUIA,VALDIVIA,5854000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/06/2012,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,11/06/2012,2
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,11/06/2012,1
ANTIOQUIA,TARAZÁ,5790000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,12/06/2012,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,13/06/2012,1
PUTUMAYO,PUERTO CAICEDO,86569000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,14/06/2012,1
VICHADA,CUMARIBO,99773000,MINA ANTIPERSONA,15/06/2012,1
ANTIOQUIA,MEDELLÍN (CT),5001000,GRANADA DE MANO,16/06/2012,1
CAUCA,ARGELIA,19050000,ROCKET,16/06/2012,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,16/06/2012,1
NARIÑO,LA LLANADA,52385000,-,16/06/2012,1
VALLE,BUENAVENTURA,76109000,GRANADA DE MANO,17/06/2012,1
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,5647000,ARTEFACTO INCENDIARIO,18/06/2012,1
META,VILLAVICENCIO (CT),50001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,18/06/2012,1
CAUCA,CALDONO,19137000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/06/2012,1
CAUCA,SANTANDER DE QUILICHAO,19698000,MOTO BOMBA,19/06/2012,1
HUILA,ALGECIRAS,41020000,PAQUETE BOMBA,19/06/2012,1
CASANARE,AGUAZUL,85010000,ARTEFACTO INCENDIARIO,20/06/2012,1
NARIÑO,RICAURTE,52612000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/06/2012,1
NARIÑO,TÚQUERRES,52838000,GRANADA DE FUSIL,20/06/2012,2
TOLIMA,CHAPARRAL,73168000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/06/2012,1
GUAVIARE,CALAMAR,95015000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,21/06/2012,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,22/06/2012,1
ARAUCA,ARAUQUITA,81065000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,23/06/2012,1
META,VISTAHERMOSA,50711000,GRANADA DE MANO,23/06/2012,1
VALLE,FLORIDA,76275000,CILINDRO BOMBA,23/06/2012,1
CAUCA,CORINTO,19212000,CARRO BOMBA,24/06/2012,1
ARAUCA,ARAUQUITA,81065000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,25/06/2012,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,25/06/2012,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,25/06/2012,1
META,MESETAS,50330000,MINA ANTIPERSONA,25/06/2012,1
VALLE,TULUÁ,76834000,GRANADA DE MANO,25/06/2012,1
ARAUCA,TAME,81794000,COMBUSTIBLE,26/06/2012,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,26/06/2012,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,GRANADA DE MANO,27/06/2012,1
GUAJIRA,MAICAO,44430000,GRANADA DE MANO,27/06/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,27/06/2012,1
ARAUCA,FORTUL,81300000,COMBUSTIBLE,28/06/2012,2
NARIÑO,SANTACRUZ,52699000,ARTEFACTO INCENDIARIO,29/06/2012,1
ANTIOQUIA,TOLEDO,5819000,ARTEFACTO INCENDIARIO,01/07/2012,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,01/07/2012,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,01/07/2012,1
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753000,MOTO BOMBA,02/07/2012,1
CAUCA,ARGELIA,19050000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,02/07/2012,1
CAUCA,ARGELIA,19050000,GRANADA DE MORTERO,02/07/2012,1
CHOCÓ,SIPÍ,27745000,ARMA DE FUEGO,02/07/2012,1
CASANARE,YOPAL (CT),85001000,ARTEFACTO INCENDIARIO,03/07/2012,1
CAUCA,JAMBALÓ,19364000,CILINDRO BOMBA,03/07/2012,1
META,VILLAVICENCIO (CT),50001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,03/07/2012,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,03/07/2012,1
PUTUMAYO,SAN MIGUEL,86757000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,03/07/2012,1
CASANARE,AGUAZUL,85010000,GRANADA DE MANO,04/07/2012,1
NARIÑO,SAMANIEGO,52678000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,04/07/2012,1
NORTE DE SANTANDER,PAMPLONA,54518000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,04/07/2012,1
PUTUMAYO,PUERTO CAICEDO,86569000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,04/07/2012,1
ANTIOQUIA,SEGOVIA,5736000,GRANADA DE MANO,06/07/2012,1
ANTIOQUIA,SEGOVIA,5736000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/07/2012,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,08/07/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/07/2012,1
CAUCA,ARGELIA,19050000,MOTO BOMBA,10/07/2012,1
ANTIOQUIA,CHIGORODÓ,5172000,MINA ANTIPERSONA,12/07/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,12/07/2012,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,GRANADA DE MANO,13/07/2012,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,13/07/2012,1
META,LEJANÍAS,50400000,MINA ANTIPERSONA,13/07/2012,1
ANTIOQUIA,CAREPA,5147000,MINA ANTIPERSONA,14/07/2012,1
GUAJIRA,URIBIA,44847000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,14/07/2012,1
CAUCA,PAEZ,19517000,COMBUSTIBLE,16/07/2012,1
ANTIOQUIA,TOLEDO,5819000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,17/07/2012,1
GUAJIRA,MAICAO,44430000,GRANADA DE MANO,17/07/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/07/2012,1
CAQUETÁ,PUERTO RICO,18592000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/07/2012,2
NARIÑO,LA TOLA,52390000,GRANADA DE MORTERO,20/07/2012,1
NORTE DE SANTANDER,BUCARASICA,54109000,ARTEFACTO INCENDIARIO,20/07/2012,1
NORTE DE SANTANDER,BUCARASICA,54109000,CILINDRO BOMBA,20/07/2012,1
PUTUMAYO,SAN MIGUEL,86757000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/07/2012,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,23/07/2012,1
HUILA,ALGECIRAS,41020000,GRANADA DE MANO,24/07/2012,1
HUILA,NEIVA (CT),41001000,COMBUSTIBLE,24/07/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,24/07/2012,1
CHOCÓ,QUIBDÓ (CT),27001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,25/07/2012,1
ARAUCA,ARAUQUITA,81065000,COMBUSTIBLE,26/07/2012,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,26/07/2012,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,26/07/2012,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,26/07/2012,1
MAGDALENA,FUNDACIÓN,47288000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,28/07/2012,1
VALLE,CALI (CT),76001000,GRANADA DE MANO,28/07/2012,1
ANTIOQUIA,ANORÍ,5040000,MINA ANTIPERSONA,29/07/2012,1
VICHADA,CUMARIBO,99773000,ARMA DE FUEGO,30/07/2012,1
ARAUCA,SARAVENA,81736000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,31/07/2012,1
CHOCÓ,QUIBDÓ (CT),27001000,GRANADA DE MANO,01/08/2012,1
ARAUCA,TAME,81794000,MOTO BOMBA,02/08/2012,1
ANTIOQUIA,TOLEDO,5819000,ARTEFACTO INCENDIARIO,03/08/2012,1
ARAUCA,SARAVENA,81736000,GRANADA DE MANO,03/08/2012,1
ARAUCA,TAME,81794000,COMBUSTIBLE,03/08/2012,1
CESAR,SAN DIEGO,20750000,CILINDRO BOMBA,03/08/2012,1
GUAJIRA,ALBANIA,44035000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,04/08/2012,1
GUAJIRA,MAICAO,44430000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,04/08/2012,1
ANTIOQUIA,MEDELLÍN (CT),5001000,GRANADA DE MANO,05/08/2012,1
VALLE,PRADERA,76563000,GRANADA DE MANO,05/08/2012,1
ARAUCA,TAME,81794000,MOTO BOMBA,06/08/2012,1
CASANARE,NUNCHÍA,85225000,PAQUETE BOMBA,06/08/2012,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,06/08/2012,1
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,5647000,ARTEFACTO INCENDIARIO,07/08/2012,1
ANTIOQUIA,DABEIBA,5234000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/08/2012,1
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,5647000,BURRO BOMBA,08/08/2012,1
GUAJIRA,ALBANIA,44035000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/08/2012,1
GUAJIRA,DISTRACCIÓN,44098000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/08/2012,1
GUAJIRA,MAICAO,44430000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/08/2012,1
PUTUMAYO,SAN MIGUEL,86757000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/08/2012,1
SANTANDER,BARRANCABERMEJA,68081000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/08/2012,1
BOYACÁ,PISBA,15550000,GRANADA DE FUSIL,09/08/2012,1
CAUCA,GUACHENÉ,19300000,CARRO BOMBA,09/08/2012,1
CAUCA,CALOTO,19142000,OLLA BOMBA,09/08/2012,1
NARIÑO,MALLAMA,52435000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,09/08/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,09/08/2012,1
CAUCA,PATÍA,19532000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/08/2012,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/08/2012,1
CAUCA,SUÁREZ,19780000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/08/2012,1
CAUCA,SANTANDER DE QUILICHAO,19698000,PAQUETE BOMBA,10/08/2012,1
CAUCA,TIMBÍO,19807000,PAQUETE BOMBA,10/08/2012,1
CAUCA,PIENDAMÓ,19548000,CARRO BOMBA,10/08/2012,1
CAUCA,PATÍA,19532000,OLLA BOMBA,10/08/2012,1
META,MESETAS,50330000,COMBUSTIBLE,10/08/2012,1
NARIÑO,BARBACOAS,52079000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/08/2012,1
NARIÑO,RICAURTE,52612000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/08/2012,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/08/2012,1
VALLE,BUENAVENTURA,76109000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/08/2012,1
VALLE,GUADALAJARA DE BUGA,76111000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/08/2012,2
VALLE,SAN PEDRO,76670000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/08/2012,1
ARAUCA,SARAVENA,81736000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,11/08/2012,1
CAUCA,SUÁREZ,19780000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,11/08/2012,1
CAUCA,CALDONO,19137000,OLLA BOMBA,11/08/2012,1
CAUCA,TOTORÓ,19824000,OLLA BOMBA,11/08/2012,1
META,PUERTO RICO,50590000,COMBUSTIBLE,11/08/2012,1
ARAUCA,SARAVENA,81736000,GRANADA DE MANO,12/08/2012,1
CAUCA,CAJIBÍO,19130000,OLLA BOMBA,12/08/2012,1
CAUCA,INZÁ,19355000,OLLA BOMBA,12/08/2012,1
CAUCA,PIENDAMÓ,19548000,OLLA BOMBA,12/08/2012,1
VALLE,GUADALAJARA DE BUGA,76111000,ARTEFACTO INCENDIARIO,12/08/2012,1
CHOCÓ,QUIBDÓ (CT),27001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,13/08/2012,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,13/08/2012,1
ARAUCA,TAME,81794000,COMBUSTIBLE,14/08/2012,1
CAUCA,CAJIBÍO,19130000,BALON BOMBA,14/08/2012,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,14/08/2012,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,14/08/2012,1
CAUCA,PATÍA,19532000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,15/08/2012,1
CAUCA,PIENDAMÓ,19548000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,15/08/2012,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,15/08/2012,1
SANTANDER,BARRANCABERMEJA,68081000,GRANADA DE MANO,15/08/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,16/08/2012,1
VALLE,TULUÁ,76834000,ARTEFACTO INCENDIARIO,16/08/2012,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,17/08/2012,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,18/08/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,18/08/2012,1
ARAUCA,ARAUCA (CT),81001000,GRANADA DE MANO,19/08/2012,1
CHOCÓ,QUIBDÓ (CT),27001000,PAQUETE BOMBA,19/08/2012,1
NARIÑO,RICAURTE,52612000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/08/2012,1
NARIÑO,TÚQUERRES,52838000,COMBUSTIBLE,19/08/2012,1
VALLE,SAN PEDRO,76670000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/08/2012,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/08/2012,1
PUTUMAYO,SAN MIGUEL,86757000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/08/2012,2
TOLIMA,DOLORES,73236000,ARTEFACTO INCENDIARIO,20/08/2012,1
ARAUCA,ARAUQUITA,81065000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,21/08/2012,2
VALLE,DAGUA,76233000,ARMA DE FUEGO,22/08/2012,1
BOYACÁ,SOGAMOSO,15759000,GRANADA DE MANO,23/08/2012,1
GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),95001000,GRANADA DE MANO,23/08/2012,1
META,GRANADA,50313000,GRANADA DE MANO,23/08/2012,1
NARIÑO,PASTO (CT),52001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,24/08/2012,1
NARIÑO,PUERRES,52573000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,24/08/2012,1
PUTUMAYO,MOCOA (CT),86001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,24/08/2012,1
ARAUCA,TAME,81794000,CARRO BOMBA,25/08/2012,1
NARIÑO,TÚQUERRES,52838000,PAQUETE BOMBA,25/08/2012,1
META,VISTAHERMOSA,50711000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,26/08/2012,1
META,URIBE,50370000,GRANADA DE MANO,26/08/2012,1
CHOCÓ,QUIBDÓ (CT),27001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,27/08/2012,1
NARIÑO,LINARES,52411000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,27/08/2012,2
TOLIMA,CHAPARRAL,73168000,PAQUETE BOMBA,27/08/2012,1
VALLE,BUENAVENTURA,76109000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,28/08/2012,1
ARAUCA,TAME,81794000,CILINDRO BOMBA,29/08/2012,1
GUAJIRA,ALBANIA,44035000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,29/08/2012,1
META,URIBE,50370000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,29/08/2012,1
CAUCA,MERCADERES,19450000,OLLA BOMBA,30/08/2012,1
CESAR,VALLEDUPAR (CT),20001000,GRANADA DE MANO,30/08/2012,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,30/08/2012,1
GUAJIRA,MAICAO,44430000,GRANADA DE MANO,30/08/2012,1
ANTIOQUIA,RIONEGRO,5615000,GRANADA DE MANO,31/08/2012,1
CAUCA,POPAYÁN (CT),19001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,31/08/2012,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,31/08/2012,1
PUTUMAYO,SAN MIGUEL,86757000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,31/08/2012,1
VALLE,CALI (CT),76001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,31/08/2012,1
VALLE,SAN PEDRO,76670000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,31/08/2012,1
CAUCA,CORINTO,19212000,ARMA DE FUEGO,01/09/2012,1
SANTANDER,BARRANCABERMEJA,68081000,GRANADA DE MANO,01/09/2012,1
ANTIOQUIA,ANORÍ,5040000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,02/09/2012,1
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,5647000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,02/09/2012,1
CAUCA,INZÁ,19355000,ARTEFACTO INCENDIARIO,02/09/2012,1
QUINDÍO,ARMENIA (CT),63001000,PAQUETE BOMBA,03/09/2012,1
CAUCA,TIMBIQUÍ,19809000,GRANADA DE MANO,04/09/2012,1
GUAJIRA,ALBANIA,44035000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,04/09/2012,1
HUILA,CAMPOALEGRE,41132000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,04/09/2012,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,04/09/2012,1
GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),95001000,GRANADA DE MANO,05/09/2012,1
CESAR,VALLEDUPAR (CT),20001000,GRANADA DE MANO,06/09/2012,1
CHOCÓ,EL CARMEN DE ATRATO,27245000,COMBUSTIBLE,06/09/2012,1
CHOCÓ,QUIBDÓ (CT),27001000,COMBUSTIBLE,06/09/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,06/09/2012,1
TOLIMA,SAN ANTONIO,73675000,ARTEFACTO INCENDIARIO,07/09/2012,1
ANTIOQUIA,EL BAGRE,5250000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/09/2012,1
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753000,PAQUETE BOMBA,10/09/2012,1
GUAJIRA,MAICAO,44430000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,11/09/2012,1
ANTIOQUIA,MEDELLÍN (CT),5001000,GRANADA DE MANO,13/09/2012,1
META,SAN JUAN DE ARAMA,50683000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,14/09/2012,1
META,PUERTO RICO,50590000,COMBUSTIBLE,14/09/2012,1
VALLE,TULUÁ,76834000,GRANADA DE MANO,14/09/2012,2
NARIÑO,BARBACOAS,52079000,PAQUETE BOMBA,15/09/2012,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,GRANADA DE MORTERO,16/09/2012,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,18/09/2012,1
NORTE DE SANTANDER,EL TARRA,54250000,ARTEFACTO INCENDIARIO,19/09/2012,2
CASANARE,YOPAL (CT),85001000,GRANADA DE MANO,21/09/2012,1
CAUCA,PATÍA,19532000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,21/09/2012,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,21/09/2012,1
NORTE DE SANTANDER,OCAÑA,54498000,ARTEFACTO INCENDIARIO,21/09/2012,1
ARAUCA,ARAUCA (CT),81001000,ARMA DE FUEGO,22/09/2012,1
CAUCA,CORINTO,19212000,ARMA DE FUEGO,22/09/2012,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,22/09/2012,1
ANTIOQUIA,ITUANGO,5361000,GRANADA DE MANO,23/09/2012,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,25/09/2012,1
META,PUERTO LLERAS,50577000,COMBUSTIBLE,25/09/2012,1
BOYACÁ,DUITAMA,15238000,GRANADA DE MANO,26/09/2012,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,GRANADA DE MANO,26/09/2012,1
GUAJIRA,VILLANUEVA,44874000,COMBUSTIBLE,27/09/2012,1
MAGDALENA,SANTA MARTA (CT),47001000,GRANADA DE MANO,27/09/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,27/09/2012,1
NARIÑO,SAPUYES,52720000,PAQUETE BOMBA,28/09/2012,1
NORTE DE SANTANDER,EL TARRA,54250000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,28/09/2012,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,28/09/2012,1
NARIÑO,BARBACOAS,52079000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,29/09/2012,1
TOLIMA,PLANADAS,73555000,MOTO BOMBA,29/09/2012,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO INCENDIARIO,01/10/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,01/10/2012,1
NARIÑO,SANTACRUZ,52699000,ARMA DE FUEGO,02/10/2012,1
ARAUCA,SARAVENA,81736000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,03/10/2012,1
PUTUMAYO,PUERTO LEGUÍZAMO,86573000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,03/10/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,05/10/2012,1
ARAUCA,SARAVENA,81736000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/10/2012,1
MAGDALENA,CIÉNAGA,47189000,GRANADA DE MANO,08/10/2012,1
NORTE DE SANTANDER,CONVENCIÓN,54206000,ARTEFACTO INCENDIARIO,08/10/2012,1
PUTUMAYO,ORITO,86320000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/10/2012,1
HUILA,CAMPOALEGRE,41132000,GRANADA DE MANO,09/10/2012,1
VALLE,TULUÁ,76834000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/10/2012,1
VALLE,PALMIRA,76520000,GRANADA DE MANO,10/10/2012,1
CAUCA,CORINTO,19212000,GRANADA DE MANO,11/10/2012,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO INCENDIARIO,11/10/2012,1
TOLIMA,IBAGUÉ (CT),73001000,GRANADA DE MANO,12/10/2012,1
VALLE,DAGUA,76233000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,12/10/2012,1
ANTIOQUIA,SABANALARGA,5628000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,14/10/2012,1
ARAUCA,TAME,81794000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,14/10/2012,1
HUILA,CAMPOALEGRE,41132000,GRANADA DE MANO,14/10/2012,1
ARAUCA,ARAUQUITA,81065000,COMBUSTIBLE,16/10/2012,1
VALLE,SAN PEDRO,76670000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,16/10/2012,1
GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),95001000,GRANADA DE MANO,17/10/2012,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,18/10/2012,1
ARAUCA,TAME,81794000,COMBUSTIBLE,19/10/2012,1
VALLE,PRADERA,76563000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/10/2012,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,20/10/2012,1
ATLÁNTICO,JUAN DE ACOSTA,8372000,GRANADA DE MANO,24/10/2012,1
MAGDALENA,SANTA MARTA (CT),47001000,GRANADA DE MANO,24/10/2012,1
META,PUERTO CONCORDIA,50450000,GRANADA DE MANO,24/10/2012,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,24/10/2012,1
GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),95001000,GRANADA DE MANO,25/10/2012,1
NARIÑO,TÚQUERRES,52838000,ARTEFACTO INCENDIARIO,26/10/2012,1
